Population,BMI,L_initial,a_initial,b_initial
AMKO,8.5676E-06,40.71645007,3.856850457,9.097973792
AMKO,7.85646E-06,35.55239177,2.638136446,6.601502387
AMKO,8.29649E-06,38.46516905,2.158723742,13.62703401
AMKO,9.37713E-06,39.92256618,2.710933948,11.87011
AMKO,8.18997E-06,35.52109962,2.44409824,8.122673178
AMKO,9.1691E-06,45.3327324,2.2062967,15.67385557
AMKO,7.72693E-06,39.74290297,1.542146212,7.147227148
AMKO,8.15237E-06,34.6433196,0.403888507,7.825369879
AMKO,9.56086E-06,43.72478136,3.471983355,14.32632619
AMKO,7.72805E-06,44.17564696,3.252067507,14.25664106
AMKO,7.72685E-06,37.37436844,4.143883894,7.193430825
AMKO,8.98313E-06,41.36779499,2.786979687,13.82025397
AMKO,8.21611E-06,41.34269701,3.343930968,9.245036215
AMKO,8.30144E-06,40.48934678,2.448262284,7.485805746
AMKO,8.74592E-06,43.54005421,2.382069167,15.55078637
AMKO,9.30299E-06,42.96746442,3.099123642,14.8528899
AMKO,8.80235E-06,42.36314626,1.339042673,17.03378297
AMKO,1.23674E-05,43.20804918,2.577302599,12.82160698
AMKO,1.14204E-05,43.66502542,1.349963984,9.571116419
AMKO,1.08968E-05,42.83834748,2.004737366,8.563529082
AMKO,1.08066E-05,42.75084118,1.664351328,10.23763163
AMKO,1.39054E-05,44.51145361,1.607628917,6.774237891
AMKO,7.98959E-06,39.81991982,1.645195542,6.245432367
AMKO,7.82482E-06,37.87679461,1.044507836,7.317790873
AMKO,1.43179E-05,40.90904216,2.287928556,11.98426852
AMKO,9.48795E-06,42.34656113,3.401097838,7.630082615
AMKO,1.02153E-05,40.11092064,1.692212389,5.511767064
AMKO,9.60889E-06,41.21213753,2.651460154,8.303714889
AMKO,1.23819E-05,44.62192503,1.573345651,11.65779557
AMKO,8.35173E-06,42.73146044,1.963977005,9.868916922
AMKO,1.06115E-05,44.06254867,1.484507691,14.2392352
AMKO,1.1907E-05,38.0134979,2.32143685,8.946143083
AMKO,1.42116E-05,46.68409868,1.622610607,12.48277193
AMKO,1.05682E-05,43.37691011,2.024759076,7.052172556
AMKO,7.93929E-06,37.84176626,1.730019488,8.405809334
AMKO,1.04478E-05,43.36695135,2.316061255,9.398944544
AMKO,1.14574E-05,45.08949157,2.612039391,7.994645484
AMKO,7.84222E-06,37.29966871,1.319989261,8.024153328
AMKO,1.19611E-05,40.97901543,0.423158535,8.888829853
AMKO,7.72639E-06,37.42726848,2.322495816,7.191374838
AMKO,8.88331E-06,41.58349182,2.665887211,15.96247065
AMKO,8.15861E-06,39.11563889,1.41044943,7.115268258
AMKO,1.00216E-05,42.31949686,1.901745667,10.07921138
AMKO,9.29644E-06,36.65590332,1.521045971,5.972478107
AMKO,1.47306E-05,44.06869709,2.269098766,10.83761657
AMKO,1.3163E-05,45.7801702,2.647239955,10.64586079
AMKO,1.07222E-05,44.54918486,2.820179788,10.37862593
AMKO,1.1084E-05,45.34672755,1.761413196,12.42182592
AMKO,9.95889E-06,37.11378806,1.7503775,7.51818016
AMKO,1.09912E-05,47.26438179,2.338458708,14.90142691
AMKO,1.56787E-05,44.29208034,1.304353298,9.805157515
AMKO,1.70598E-05,41.52769321,2.376523786,8.368263234
AMKO,8.42718E-06,42.82298588,2.264894503,13.29039136
AMKO,8.04861E-06,40.31743269,2.06415606,7.562379236
AMKO,7.82204E-06,41.08003193,2.347655665,12.64674843
AMKO,1.03047E-05,39.27352827,1.9672528,7.602431963
AMKO,8.05913E-06,38.21546477,1.516631839,11.63672715
AMKO,7.73421E-06,37.80302991,2.395936682,4.412755079
AMKO,7.72639E-06,40.42678859,0.883449618,10.37470827
AMKO,1.03813E-05,44.31201792,2.233438743,10.5145508
AMKO,1.04807E-05,40.43607426,2.473018509,7.602855129
AMKO,1.27596E-05,47.73851664,3.217805381,11.83426523
AMKO,1.01743E-05,41.34855574,0.169949183,13.66265656
AMKO,7.96835E-06,33.60061917,1.509801762,8.329257168
AMKO,8.00266E-06,34.04579867,0.741248148,4.336377709
AMKO,9.26178E-06,32.36915011,0.10381254,6.390526981
AMKO,8.30047E-06,34.93145208,1.47186426,5.370697476
AMKO,9.62557E-06,38.26600537,2.299505803,5.960725429
AMKO,7.89177E-06,40.19091677,1.028055662,8.475567804
AMKO,8.30855E-06,35.02500937,0.934109614,11.40294697
AMKO,9.94206E-06,41.41600362,1.006184794,5.611956301
AMKO,8.26114E-06,30.21997933,0.581134199,3.099602839
AMKO,1.05611E-05,36.02490163,0.876874237,5.84358751
AMKO,8.44748E-06,35.16443873,0.863882314,6.777075333
AMKO,1.10165E-05,39.1713028,1.189670422,5.950886291
AMKO,9.79696E-06,42.74307072,1.934529699,5.999273809
AMKO,7.73572E-06,34.74198572,0.550045259,9.335849793
AMKO,1.15768E-05,40.19799785,1.668468622,6.781203524
AMKO,7.81732E-06,34.24146613,1.440294208,12.65808264
AMKO,7.87493E-06,35.49399578,1.447162912,10.12271223
AMKO,1.40497E-05,39.46722479,0.72612499,10.10436
AMKO,1.08963E-05,40.17802428,2.000891719,11.81511266
AMKO,7.7425E-06,31.47062521,2.517644616,12.10640234
AMKO,1.32996E-05,41.44094595,1.642326003,13.60276668
AMKO,1.09122E-05,36.49067163,1.356462598,12.5039501
AMKO,7.83717E-06,29.12211455,2.416803177,9.557967985
AMKO,7.74692E-06,32.2548155,1.872351382,13.68439477
AMKO,8.05747E-06,32.35186422,1.61301183,14.0621178
AMKO,7.7626E-06,33.96259112,3.076359252,11.36390443
AMKO,8.06287E-06,31.48117922,1.766598497,5.189497272
AMKO,8.18471E-06,35.4562187,1.763746574,13.8096313
AMKO,9.80867E-06,36.35105666,0.962421292,7.176144667
AMKO,9.95482E-06,28.70612247,1.538637017,5.11317968
AMKO,7.8284E-06,30.74805411,1.747239657,10.87187238
AMKO,7.83439E-06,34.49603638,3.364900275,12.13833808
AMKO,7.73041E-06,35.44612963,3.101149683,11.64102415
AMKO,1.04919E-05,37.60683577,2.976307785,7.033142537
AMKO,1.04718E-05,38.42268818,2.058524617,11.15385642
AMKO,9.67515E-06,35.36778836,2.602559618,5.239983616
AMKO,1.2081E-05,40.54316908,1.213400501,12.40568066
AMKO,8.3711E-06,37.59684335,1.762015918,12.63501016
AMKO,7.75948E-06,35.40588051,3.042760141,13.15121853
AMKO,8.54387E-06,35.95972479,3.784826072,7.643151585
AMKO,7.73302E-06,32.14188604,3.086603332,13.82930754
AMKO,1.25698E-05,43.9077159,2.014439527,10.50739427
AMKO,1.0911E-05,38.91412488,3.290481872,10.67027835
AMKO,1.22735E-05,43.28566343,2.720883565,9.361505503
AMKO,9.66042E-06,37.88340958,2.768371246,15.56943098
AMKO,7.85555E-06,33.86442342,2.123445058,9.432069908
AMKO,7.84937E-06,33.9216407,2.706866533,4.994126603
AMKO,8.26944E-06,31.66084315,1.788584876,5.941383104
AMKO,8.01666E-06,33.91880166,2.188809117,10.49882381
AMKO,8.57843E-06,33.25266876,2.443474032,7.660494392
AMKO,1.08016E-05,36.42621236,1.872609738,7.279029714
APHP,1.0243E-05,43.92258977,2.901109463,7.530965815
APHP,9.76634E-06,33.15866287,1.288964715,5.959851081
APHP,1.42426E-05,42.71815517,2.66537496,9.717631097
APHP,8.55789E-06,36.22602089,2.459142509,4.88490155
APHP,8.11215E-06,37.62871747,3.551497337,6.702593333
APHP,9.61683E-06,40.93956416,3.055903462,10.92577319
APHP,7.7316E-06,41.79285745,2.798423061,8.774024012
APHP,8.91796E-06,40.56412284,3.166900316,9.401456358
APHP,8.58196E-06,37.5830196,2.493688249,7.263841078
APHP,1.39911E-05,39.34677549,2.608715634,10.67741511
APHP,1.50347E-05,42.3606998,4.038367949,8.899727943
APHP,8.3004E-06,42.74041191,4.671617177,9.376777065
APHP,1.09179E-05,43.31532765,2.599004862,10.32274754
APHP,8.48367E-06,39.96636706,3.849915049,6.518545973
APHP,1.02695E-05,41.17920408,4.672766631,8.412936158
APHP,8.83821E-06,34.67130362,2.628729322,4.961227863
APHP,1.02149E-05,41.62187008,3.771752197,10.35195489
APHP,1.03233E-05,39.32150657,3.012284019,5.914275976
APHP,1.12299E-05,43.70038991,4.283271251,9.817206571
APHP,2.23865E-05,48.19095474,3.284184144,11.18749302
APHP,7.80462E-06,39.62963707,4.258560728,12.62748579
APHP,9.42687E-06,38.88041889,3.244265126,9.544137865
APHP,1.05721E-05,43.80693422,4.43071356,10.64550684
APHP,9.79176E-06,39.98935142,3.998141764,9.573961811
APHP,1.19359E-05,46.08241153,3.480943793,10.39837749
APHP,8.0115E-06,41.50808994,3.820022341,10.05599978
APHP,8.01012E-06,42.98345803,6.148311701,13.73873474
APHP,9.16545E-06,43.52641792,5.908019584,11.37635475
APHP,1.06267E-05,47.24656603,5.144577135,13.35126039
APHP,1.16711E-05,46.74309276,4.717998495,13.17220601
APHP,1.37847E-05,44.57376871,4.039198096,9.353965419
APHP,1.00654E-05,42.7076121,3.818429042,13.42120164
APHP,8.08628E-06,37.19425122,3.691025802,6.938707018
APHP,9.85373E-06,43.48260174,3.004376121,9.789826545
APHP,9.75127E-06,44.71597264,3.700871126,12.28890211
APHP,9.79025E-06,41.81461816,4.824380585,8.50061415
APHP,8.20811E-06,40.08716333,4.792787272,9.76336566
APHP,8.00304E-06,42.71765272,4.882062202,8.007902525
APHP,1.03947E-05,42.64509941,4.490168697,8.407784788
APHP,8.61838E-06,43.8799902,5.467209309,9.792751356
APHP,9.45749E-06,41.6816523,3.664467927,6.701587637
APHP,9.91445E-06,45.67610321,3.678715098,11.89624556
APHP,7.88854E-06,37.80122783,3.166878693,9.917140065
APHP,8.53531E-06,41.68591515,3.503480307,8.650346033
APHP,9.21253E-06,40.17690471,3.914815017,6.765890397
APHP,8.46458E-06,46.82201099,4.243417894,11.40742537
APHP,9.21566E-06,40.40742488,2.341005005,7.523193301
APHP,8.59434E-06,39.68992753,2.636232024,6.625447574
APHP,8.89348E-06,44.56213131,5.185377226,9.213073073
APHP,9.70389E-06,48.98910231,5.209878995,13.87138007
APHP,9.15279E-06,43.975209,3.668156159,10.5636186
APHP,8.80769E-06,43.0233284,4.13507384,9.034964277
APHP,8.51781E-06,42.40027173,3.015762737,7.648238585
APHP,1.06958E-05,39.38551417,1.853866976,6.29816137
APHP,1.39569E-05,46.21556633,4.192777456,11.5234298
APHP,9.77388E-06,43.08186728,2.340790702,11.74066674
APHP,8.64307E-06,39.90435991,3.731468504,7.795837262
ECKO,7.74142E-06,33.27775993,1.897526007,5.324810219
ECKO,8.15941E-06,35.75873619,0.770943618,5.664893818
ECKO,1.18061E-05,41.36012451,1.68648662,7.448259174
ECKO,7.89833E-06,35.70507116,1.498050246,5.280975096
ECKO,9.39643E-06,32.38091417,1.301846791,4.868471172
ECKO,8.96144E-06,35.24192382,1.895691747,7.776640018
ECKO,7.72889E-06,36.13420349,1.363811027,7.301742789
ECKO,7.82637E-06,37.50140175,1.407662483,7.567479582
ECKO,7.7824E-06,39.95759587,1.118461071,12.47144654
ECKO,8.12772E-06,32.25536671,1.921155653,5.323411613
ECKO,8.729E-06,38.77638627,2.230248077,5.489030224
ECKO,8.57964E-06,36.9866256,3.029518044,7.884462836
ECKO,8.34166E-06,40.94058422,2.787806336,6.722334404
ECKO,9.04169E-06,43.72086729,1.587510004,9.378665357
ECKO,9.60496E-06,39.33821558,1.342246009,8.84828503
ECKO,8.67356E-06,34.31927945,0.842297825,6.265705241
ECKO,8.49393E-06,42.10168423,1.28161759,7.250024551
ECKO,9.09627E-06,42.07104353,1.999598516,5.759636501
ECKO,7.81167E-06,38.96413199,1.309384557,6.420908881
ECKO,9.48049E-06,43.83039807,1.656662343,8.054965221
ECKO,7.75985E-06,39.83129751,1.62270913,5.966377757
ECKO,7.72758E-06,40.00305519,2.148516219,7.760161593
ECKO,1.31693E-05,44.72597712,2.858804363,11.75210697
ECKO,1.10029E-05,47.73684963,2.511817989,9.492604995
ECKO,1.18587E-05,43.53028421,2.239819888,8.179447959
ECKO,1.02722E-05,41.13773149,2.970898709,9.340963361
ECKO,9.02443E-06,40.15566688,2.422967918,6.364148027
ECKO,8.39885E-06,36.82390897,0.747949926,8.695311741
ECKO,8.02383E-06,33.70130206,1.089485974,6.249731359
ECKO,7.8308E-06,38.66617466,1.612205852,10.24982798
ECKO,8.49932E-06,39.25143119,1.256503322,5.914582336
ECKO,8.85584E-06,36.32551924,1.991013545,5.940597159
ECKO,9.26036E-06,40.50563089,2.611633671,10.52576236
ECKO,9.47819E-06,41.53075718,1.59686795,10.2330759
ECKO,1.04244E-05,40.07464296,2.587248592,5.709419824
ECKO,8.10903E-06,39.94276266,1.643517419,8.204698381
ECKO,1.15687E-05,43.04408998,2.074642785,6.989551232
ECKO,1.03482E-05,42.92475382,1.48011362,11.04498524
ECKO,8.5262E-06,38.83597009,2.763454905,6.244441774
ECKO,7.72941E-06,40.27395617,3.013573291,8.767720387
ECKO,7.82093E-06,38.06203053,1.213743795,5.546403083
ECKO,1.01017E-05,41.88987782,1.967714762,9.948289167
ECKO,8.20225E-06,36.31991414,1.451597996,5.435314603
ECKO,7.7802E-06,39.24816915,1.672647642,7.001816806
ECKO,1.10205E-05,44.39743191,1.582787224,9.506046301
ECKO,8.01157E-06,39.1111595,2.445456288,6.49548418
ECKO,8.32362E-06,42.41073504,3.485123485,8.426329053
ECKO,8.22503E-06,41.22680894,2.614412343,9.386494214
ECKO,9.53138E-06,43.11255539,1.540193151,6.997830207
ECKO,7.88301E-06,39.90802882,3.500958388,6.453872954
ECKO,1.14031E-05,45.33303844,0.553874847,13.17389661
ECKO,7.8274E-06,40.08836939,3.207986729,7.528795895
ECKO,7.74734E-06,38.41692376,1.516362963,9.939708752
ECHP,1.54093E-05,43.35765553,2.003646491,12.49309271
ECHP,1.12182E-05,40.93230146,3.14458025,11.6319503
ECHP,8.15881E-06,39.6561389,3.498081299,8.75014613
ECHP,1.59972E-05,44.6393294,1.084439851,7.186636132
ECHP,1.09192E-05,43.74210154,1.367342116,9.877056439
ECHP,1.06544E-05,41.42177308,1.797620535,8.254618442
ECHP,1.40313E-05,44.43998453,1.89914783,10.12645116
ECHP,1.04662E-05,38.52331505,2.461859629,8.445124464
ECHP,9.12442E-06,38.95750357,1.632464722,7.516304851
ECHP,1.19654E-05,41.53663242,1.464064122,10.6738671
ECHP,1.26667E-05,41.21487142,1.957068666,11.9268281
ECHP,1.08605E-05,40.44115366,0.971917924,12.40047311
ECHP,1.36105E-05,42.16484442,1.964848946,8.984134501
ECHP,1.04225E-05,42.62805811,2.200513949,9.677313647
ECHP,1.21773E-05,37.15054071,1.417813551,8.881539509
ECHP,1.03401E-05,40.37105694,1.301157549,9.41734037
ECHP,8.25197E-06,33.75743661,0.390511599,5.431816823
ECHP,9.42374E-06,44.17149091,2.892456627,10.26303741
ECHP,1.08654E-05,41.52065897,1.854085352,12.76952951
ECHP,9.5561E-06,40.518303,1.355431196,10.8473157
ECHP,1.34954E-05,43.70040953,3.237378941,12.4664223
ECHP,9.72728E-06,39.36398762,1.007988596,9.075096421
ECHP,1.16563E-05,43.79336258,1.831852767,9.591356707
ECHP,7.81489E-06,38.26769675,2.99621813,15.75308261
ECHP,7.76698E-06,37.79587352,1.49518002,11.85221991
ECHP,8.54505E-06,42.4742803,2.082015175,9.848346385
ECHP,1.1759E-05,39.73309159,1.801358414,9.053574155
ECHP,1.13662E-05,41.63423032,2.04744504,7.813426954
ECHP,7.87454E-06,42.32826542,2.904801778,12.06352874
ECHP,1.1139E-05,38.86513101,1.595917102,10.00204463
ECHP,8.89623E-06,34.56006695,0.944598896,8.979258382
ECHP,1.38904E-05,43.19665654,1.526277356,10.11414184
ECHP,1.11303E-05,44.66289298,1.975548676,7.143341876
ECHP,8.9989E-06,36.6804553,2.457935696,8.397020451
ECHP,1.13799E-05,40.99648801,2.110273037,9.425214921
ECHP,1.23343E-05,40.5647793,2.4520448,8.059062662
ECHP,1.11728E-05,41.21277323,0.564390186,9.235427075
ECHP,8.06561E-06,37.93689571,1.741983034,11.66492752
ECHP,1.28579E-05,42.46191586,2.260988987,9.697836801
ECHP,1.01071E-05,41.81353045,3.065531787,9.203666644
ECHP,7.74969E-06,40.14052346,1.221725147,7.732380359
ECHP,8.77801E-06,35.36666336,0.7368654,7.133663683
ECHP,7.76976E-06,38.49062448,1.685783946,7.45983545
ECHP,9.50765E-06,39.09659517,0.436935739,9.568761583
ECHP,9.40002E-06,44.70131983,0.052726403,17.49213964
ECHP,1.15872E-05,43.30154495,0.702357815,13.23833362
