Population,BMI,L_initial,a_initial,b_initial
AMKO,9.13762E-06,38.88469286,2.683470984,6.598325616
AMKO,1.09421E-05,43.96814959,3.999215133,9.271493037
AMKO,7.81206E-06,40.05452094,3.502004028,6.794817826
AMKO,8.26641E-06,40.23902229,2.641675988,16.24683479
AMKO,7.73668E-06,39.30459313,3.79004118,13.87042952
AMKO,7.78165E-06,38.79449245,3.490423915,12.27016314
AMKO,9.93955E-06,37.27482775,2.123284963,7.271793978
AMKO,8.30527E-06,37.23536748,4.034577539,10.76861815
AMKO,9.53912E-06,42.58694688,2.105050886,15.31172965
AMKO,8.28484E-06,42.70009975,3.169655887,18.04772785
AMKO,8.05012E-06,39.90518093,1.899705626,9.873834434
AMKO,7.83835E-06,43.74976824,4.056982736,18.17947088
AMKO,8.25408E-06,42.72566349,4.251781715,15.0017941
AMKO,9.13625E-06,41.66645064,2.911387783,8.006390829
AMKO,7.80352E-06,39.46718726,2.414775164,6.530473581
AMKO,8.36345E-06,40.67916233,3.034004806,9.373287981
AMKO,9.11642E-06,41.35682288,2.307570609,7.711168394
AMKO,7.78581E-06,42.45246249,4.116425298,17.01574336
AMKO,8.67813E-06,40.18112912,2.597837701,8.882048877
AMKO,8.67352E-06,38.50398349,2.483017398,7.002711961
AMKO,9.2472E-06,45.8765635,3.660924728,13.7602549
AMKO,7.73748E-06,41.21171705,4.07533361,13.89335515
AMKO,8.22607E-06,39.08947058,3.596231136,15.03780475
AMKO,8.11205E-06,43.51956422,3.883010138,15.40106866
AMKO,7.84384E-06,41.96568708,2.998247653,12.20463865
AMKO,9.1509E-06,44.12904222,2.675584767,15.01481056
AMKO,7.7395E-06,44.36963963,3.042178717,17.63589895
AMKO,8.7778E-06,38.40144411,2.239991082,7.811997408
AMKO,7.85481E-06,40.66879116,2.080063515,12.750827
AMKO,7.72758E-06,36.82391427,2.957125095,7.115832642
AMKO,7.77141E-06,35.10016789,3.573001902,8.566583725
AMKO,8.03985E-06,39.54497563,3.478144008,12.83624836
AMKO,8.56277E-06,43.60294879,3.921638456,13.92979934
